YEAR,MO,DY,HR,RH2M,SZA,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,PRECTOTCORR,Effeciency,Power Output
2020,1,4,8,90.2,83,44.33,99.8,-4.25,0.03,1.13,1.13
2020,1,4,9,81.81,75.27,59.67,248.25,-2.8,0.03,1.28,3.17
2020,1,4,10,77.53,69.1,106,371.33,-1.82,0.07,2.13,7.91
2020,1,4,11,74,65.33,160.48,446.38,-0.9,0.01,3.14,14.01
2020,1,4,12,68.65,64.39,178.98,464.83,0.2,0,3.48,16.2
2020,1,4,13,62.01,66.41,221.1,423,1.24,0,4.39,18.57
2020,1,4,14,56.97,71.13,256.52,328.35,1.71,0,5.32,17.47
2020,1,4,15,63.02,78.04,163.25,191.25,1.27,0,3.71,7.09
2020,1,4,16,79.02,86.5,38.08,40.65,-1.27,0,1.19,0.48
2020,1,4,17,80.28,90,0,0,-2.32,0,0,0
2020,1,4,18,77.75,90,0,0,-1.94,0,0,0
2020,1,4,19,75.12,90,0,0,-1.58,0,0,0
2020,1,4,20,76.32,90,0,0,-1.64,0,0,0
2020,1,4,21,79.49,90,0,0,-1.91,0,0,0
2020,1,4,22,81.05,90,0,0,-1.84,0,0,0
2020,1,4,23,82.54,90,0,0,-1.72,0,0,0
2020,1,5,0,84.77,90,0,0,-1.67,0,0,0
2020,1,5,1,86.4,90,0,0,-1.54,0,0,0
2020,1,5,2,87.43,90,0,0,-1.22,0,0,0
2020,1,5,3,88.2,90,0,0,-0.95,0,0,0
2020,1,5,4,87.78,90,0,0,-0.41,0,0,0
2020,1,5,5,89.85,90,0,0,-0.18,0,0,0
2020,1,5,6,91.97,90,0,0,-0.07,0,0,0
2020,1,5,7,90.52,90,0,0,0.57,0,0,0
2020,1,5,8,84.39,82.98,86.15,89.82,2.01,0,2.39,2.15
2020,1,5,9,72.75,75.23,223.73,234.95,3.82,0,4.98,11.7
2020,1,5,10,63.57,69.04,271.23,362.25,5.01,0,5.52,19.99
2020,1,5,11,56.07,65.24,327.48,441.77,5.81,0,6.42,28.38
2020,1,5,12,55.13,64.28,355.8,463.55,6.23,0,6.89,31.92
2020,1,5,13,55.77,66.28,425.85,425.88,6.11,0,8.31,35.41
2020,1,5,14,57.05,70.98,332.73,333.8,5.62,0,6.72,22.43
2020,1,5,15,62.89,77.89,196.57,198.15,4.45,0,4.3,8.52
2020,1,5,16,73.56,86.37,43.9,44.58,2.12,0,1.29,0.57
2020,1,5,17,81.53,90,0,0,0.23,0,0,0
2020,1,5,18,87.03,90,0,0,-0.81,0,0,0
2020,1,5,19,89.86,90,0,0,-1.27,0,0,0
2020,1,5,20,92.65,90,0,0,-1.75,0,0,0
2020,1,5,21,94.83,90,0,0,-2.26,0,0,0
2020,1,5,22,95.75,90,0,0,-2.69,0,0,0
2020,1,5,23,95.95,90,0,0,-3.08,0,0,0
2020,1,6,0,95.95,90,0,0,-3.33,0,0,0
2020,1,6,1,93.15,90,0,0,-3.02,0.81,0,0
2020,1,6,2,91.19,90,0,0,-2.64,0.81,0,0
2020,1,6,3,90.61,90,0,0,-2.4,0.81,0,0
2020,1,6,4,91.14,90,0,0,-2.31,0,0,0
2020,1,6,5,90.95,90,0,0,-2.29,0,0,0
2020,1,6,6,87.43,90,0,0,-2.24,0,0,0
2020,1,6,7,84.34,90,0,0,-2.11,0,0,0
2020,1,6,8,86.08,82.96,62.78,101.97,-1.88,0,1.56,1.6
2020,1,6,9,79.26,75.18,155.1,251.3,-0.97,0,3.28,8.25
2020,1,6,10,77.14,68.97,239.6,372.83,0.16,0,4.79,17.84
2020,1,6,11,77.15,65.15,294.98,444.85,1.29,0,5.75,25.59
2020,1,6,12,68.43,64.16,312.08,453.42,2.52,0,6.22,28.19
2020,1,6,13,64.06,66.14,279.92,412.05,3.21,0,5.7,23.5
2020,1,6,14,77.17,70.84,202.45,314.6,2.9,0,4.33,13.62
2020,1,6,15,83.31,77.73,104.32,179.62,1.75,0,2.53,4.54
2020,1,6,16,81.71,86.23,22.9,39.5,0.63,0,0.79,0.31
2020,1,6,17,80.84,90,0,0,0.27,0,0,0
2020,1,6,18,79.9,90,0,0,0.3,0,0,0
2020,1,6,19,79.19,90,0,0,0.11,0,0,0
2020,1,6,20,81.01,90,0,0,-0.3,0,0,0
2020,1,6,21,83.7,90,0,0,-0.9,0,0,0
2020,1,6,22,85.15,90,0,0,-1.81,0,0,0
2020,1,6,23,85.88,90,0,0,-2.3,0,0,0
2020,1,7,0,86.98,90,0,0,-2.54,0,0,0
2020,1,7,1,89.31,90,0,0,-2.64,0,0,0
2020,1,7,2,93.9,90,0,0,-2.81,0,0,0
2020,1,7,3,98.6,90,0,0,-3.18,0,0,0
2020,1,7,4,100,90,0,0,-3.92,0,0,0
2020,1,7,5,100,90,0,0,-4.73,0,0,0
2020,1,7,6,100,90,0,0,-5.14,0,0,0
2020,1,7,7,98.83,90,0,0,-5.43,0,0,0
2020,1,7,8,94.03,82.92,97.2,103.1,-4.94,0,2.42,2.5
2020,1,7,9,87.31,75.13,211.52,252.88,-3.44,0,4.48,11.32
2020,1,7,10,74.63,68.89,343.27,375.73,-0.97,0,6.88,25.85
2020,1,7,11,59.15,65.04,355.25,449.9,1.51,0,7.01,31.52
2020,1,7,12,53.71,64.03,374.73,464.42,2.96,0,7.42,34.48
2020,1,7,13,53.13,66,391.58,424.7,3.75,0,7.86,33.37
2020,1,7,14,57.33,70.68,291.23,331.2,4.12,0,6.06,20.06
2020,1,7,15,72.8,77.57,169.8,194.65,3.21,0,3.86,7.52
2020,1,7,16,79.56,86.08,41.28,44.1,0.74,0,1.32,0.58
2020,1,7,17,82.44,90,0,0,-0.38,0,0,0
2020,1,7,18,82.55,90,0,0,-0.46,0,0,0
2020,1,7,19,83.11,90,0,0,-1.01,0,0,0
2020,1,7,20,85.63,90,0,0,-1.9,0,0,0
2020,1,7,21,87.52,90,0,0,-2.8,0,0,0
2020,1,7,22,86.38,90,0,0,-3.7,0,0,0
2020,1,7,23,82.44,90,0,0,-4.74,0,0,0
2020,1,8,0,74.61,90,0,0,-5.79,0,0,0
2020,1,8,1,70.68,90,0,0,-6.85,0,0,0
2020,1,8,2,70.57,90,0,0,-7.85,0,0,0
2020,1,8,3,71.66,90,0,0,-8.7,0,0,0
2020,1,8,4,72.01,90,0,0,-9.47,0,0,0
2020,1,8,5,73.25,90,0,0,-10.13,0,0,0
2020,1,8,6,73.79,90,0,0,-10.6,0,0,0
2020,1,8,7,74.33,90,0,0,-10.88,0,0,0
2020,1,8,8,69.57,82.88,93.7,101.1,-10.34,0,2.52,2.54
2020,1,8,9,63.76,75.07,236.95,249.77,-9.05,0,5.36,13.38
2020,1,8,10,57.33,68.81,365.42,373.92,-7.25,0,7.73,28.92
2020,1,8,11,51.28,64.93,385.6,449.55,-5.31,0,7.94,35.7
2020,1,8,12,49.24,63.9,462.33,467.75,-3.7,0,9.46,44.23
2020,1,8,13,46.59,65.85,399.52,429.95,-2.24,0,8.24,35.41
2020,1,8,14,46.91,70.52,327.9,338.23,-1.41,0,6.98,23.6
2020,1,8,15,50.19,77.41,197.2,202.23,-1.3,0,4.57,9.24
2020,1,8,16,58.7,85.93,46,48.62,-2.26,0,1.44,0.7
2020,1,8,17,65.82,90,0,0,-3.32,0,0,0
2020,1,8,18,69.21,90,0,0,-3.74,0,0,0
2020,1,8,19,71.02,90,0,0,-3.7,0,0,0
2020,1,8,20,72.91,90,0,0,-3.51,0,0,0
2020,1,8,21,75.79,90,0,0,-3.17,0,0,0
2020,1,8,22,80.42,90,0,0,-2.5,0,0,0
2020,1,8,23,88.4,90,0,0,-1.74,0,0,0
2020,1,9,0,94.88,90,0,0,-0.71,0,0,0
2020,1,9,1,96.15,90,0,0,0.73,0,0,0
2020,1,9,2,95.49,90,0,0,1.66,0,0,0
2020,1,9,3,92.98,90,0,0,2.31,0,0,0
2020,1,9,4,90.44,90,0,0,3.04,0,0,0
2020,1,9,5,87.59,90,0,0,4.23,0,0,0
2020,1,9,6,86.57,90,0,0,5.51,0.02,0,0
2020,1,9,7,88.53,90,0,0,6.12,0.1,0,0
2020,1,9,8,90.27,82.82,52.17,75.85,6.77,0.11,1.71,1.29
2020,1,9,9,90.05,75.01,76.47,210.3,7.95,0.1,1.86,3.91
